song,artist
秋天不回来,王强
求佛,誓言
你到底爱谁,刘嘉亮
不怕不怕,郭美美
一万个理由,郑源
最后一次温柔,蓝雨
老人与海,海鸣威
爱情买卖,慕容晓晓
别说我的眼泪无所谓,郑源
愚爱,欢子
丁香花,唐磊
犯错,顾峰 / 斯琴高丽
爱死了昨天,李慧珍
等一分钟,徐誉滕
天使的翅膀,徐誉滕
生日礼物,江涛
孤单北半球,欧得洋
放生,许愿
爸爸妈妈,张栋梁
小鸡小鸡,王蓉
老鼠爱大米,杨臣刚
两只蝴蝶,庞龙
不是因为寂寞才想你,欢子
被伤过的心还可以爱谁,六哲
错错错,六哲 / 陈娟儿
等待我再回来,郑源
当你孤单你会想起谁,张栋梁
感动天感动地,宇桐非
擦肩而过,郑源
包容,郑源
下辈子如果我还记得你,马郁
该死的温柔,马天宇
心痛2009,欢子
飞舞,王冰洋
哥只是个传说,陈旭
一个人的寂寞两个人的错,贺一航
回心转意,黑龙
不要再来伤害我,张振宇
伤不起,王麟
有没有人告诉你,陈楚生
有何不可,许嵩
曾经最美,朱铭捷
分手在那个秋天,浩瀚
那一夜,谢军
有一种爱叫做放手,郑源
怀念过去,郑源
幸福恋人,郑源
猪之歌,香香
狼爱上羊,汤潮
香水有毒,胡杨林
I miss you,罗百吉
